bea_code,detail_code,bea_desc,category
327910,abr_nmp,Abrasive product manufacturing,goods
541200,acc_tsv,"Accounting, tax preparation, bookkeeping, and payroll services",goods
333415,acn_mch,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",goods
325520,adh_che,Adhesive manufacturing,goods
541800,adv_tsv,"Advertising, public relations, and related services",goods
334512,aec_cep,Automatic environmental control manufacturing,goods
336412,aen_ote,Aircraft engine and engine parts manufacturing,goods
333912,agc_mch,Air and gas compressor manufacturing,goods
524200,agn_ins,"Insurance agencies, brokerages, and related activities",goods
711A00,agt_art,Promoters of performing arts and sports and agents for public figures,goods
481000,air_air,Air transportation,goods
333413,air_mch,Industrial and commercial fan and blower and air purification equipment manufacturing,goods
336411,air_ote,Aircraft manufacturing,goods
331313,ala_pmt,Alumina refining and primary aluminum production,goods
334516,ali_cep,Analytical laboratory instrument manufacturing,goods
33131B,alu_pmt,Aluminum product manufacturing from purchased aluminum,goods
721000,amd_amd,Accommodation,goods
33299A,amn_fmt,"Ammunition, arms, ordnance, and accessories manufacturing",goods
713100,amu_rec,Amusement parks and arcades,goods
315000,app_alt,Apparel manufacturing,goods
541300,arc_tsv,"Architectural, engineering, and related services",goods
31161A,asp_fbp,"Animal (except poultry) slaughtering, rendering, and processing",goods
339920,ath_mmf,Sporting and athletic goods manufacturing,goods
336111,atm_mot,Automobile manufacturing,goods
811100,atr_osv,Automotive repair and maintenance,goods
334300,aud_cep,Audio and video equipment manufacturing,goods
532100,aut_rnt,Automotive equipment rental and leasing,goods
T013,basicsupply,Total product supply (basic prices),
VABAS,basicvalueadded,Value added (basic value),
332991,bbr_fmt,Ball and roller bearing manufacturing,goods
1121A0,bef_agr,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",goods
312120,ber_fbp,Breweries,goods
325414,bio_che,Biological product (except diagnostic) manufacturing,goods
511130,bok_pub,Book publishers,goods
336612,bot_ote,Boat building,goods
326160,bot_pla,Plastics bottle manufacturing,goods
334220,brd_cep,Broadcast and wireless communications equipment,goods
311810,brd_fbp,Bread and bakery product manufacturing,goods
311230,brk_fbp,Breakfast cereal manufacturing,goods
3363A0,brk_mot,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",goods
561400,bsp_adm,Business support services,goods
444000,bui_ott,Building material and garden equipment and supplies dealers,goods
337110,cab_fpd,Wood kitchen cabinet and countertop manufacturing,goods
336214,cam_mot,Travel trailer and camper manufacturing,goods
311420,can_fbp,"Fruit and vegetable canning, pickling, and drying",goods
5241XX,car_ins,"Insurance carriers, except direct life",goods
713200,cas_rec,Gambling industries (except casino hotels),goods
515200,cbl_brd,Cable and other subscription programming,goods
335991,cbn_eec,Carbon and graphite product manufacturing,goods
332800,ceh_fmt,"Coating, engraving, heat treating and allied activities",goods
F03000,changinv,Change in private inventories,finaldemand
311615,chk_fbp,Poultry processing,goods
311513,chs_fbp,Cheese manufacturing,goods
MADJ,ciffob,CIF/FOB Adjustments on Imports,
312200,cig_fbp,Tobacco product manufacturing,goods
813B00,civ_osv,"Civic, social, professional, and similar organizations",goods
448000,clo_ott,Clothing and clothing accessories stores,goods
327100,cly_nmp,Clay product and refractory manufacturing,goods
335920,cme_eec,Communication and energy wire and cable manufacturing,goods
624A00,cmf_soc,"Community food, housing, and other relief services, including rehabilitation services",goods
532A00,cmg_rnt,General and consumer goods rental,goods
327310,cmt_nmp,Cement manufacturing,goods
327320,cnc_nmp,Ready-mix concrete manufacturing,goods
3118A0,cok_fbp,"Cookie, cracker, pasta, and tortilla manufacturing",goods
212100,col_min,Coal mining,goods
532400,com_rnt,Commercial and industrial machinery and equipment rental and leasing,goods
523A00,com_sec,Securities and commodity contracts intermediation and brokerage,goods
V00100,compen,Compensation of employees,valueadded
333120,con_mch,Construction machinery manufacturing,goods
331420,cop_pmt,"Copper rolling, drawing, extruding and alloying",goods
327330,cpb_nmp,"Concrete pipe, brick, and block manufacturing",goods
522A00,cre_bnk,Nondepository credit intermediation and related activities,goods
332119,crn_fmt,"Metal crown, closure, and other metal stamping (except automotive)",goods
334112,csd_cep,Computer storage device manufacturing,goods
334118,ctm_cep,Computer terminals and other computer peripheral equipment manufacturing,goods
541511,cus_com,Custom computer programming services,goods
332200,cut_fmt,Cutlery and handtool manufacturing,goods
33351B,cut_mch,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing",goods
327991,cut_nmp,Cut stone and stone product manufacturing,goods
624400,day_soc,Child day care services,goods
F06E00,def_equipment,Federal national defense: Gross investment in equipment,finaldemand
