ec_code,ec_desc
CAPOUT,Total Expenditure - Direct Expenditure - Capital Outlay
CASHSH,Cash and Security Holdings
CORREC,"General Expenditure, by Function: - Correction"
CORTAX,Total Revenue - General Revenue - Total Taxes - Corporation Net Income Taxes
CURCHG,Total Revenue - General Revenue - Current Charges
CUROPR,Total Expenditure - Direct Expenditure - Current Operations
DEBTFY,"Debt Outstanding, Long Term and Short Term"
DIREXP,Total Expenditure - Direct Expenditure
DIRGEX,Total Expenditure - General Expenditure - Direct General Expenditure
EDUCAT,"General Expenditure, by Function: - Education"
GENEXP,Total Expenditure - General Expenditure
GENREV,Total Revenue - General Revenue
GOVADM,"General Expenditure, by Function: - Governmental Administration"
GSALES,Total Revenue - General Revenue - Total Taxes - General Sales and Gross Receipts Taxes
HEALTH,"General Expenditure, by Function: - Health"
HGHWAY,"General Expenditure, by Function: - Highways"
HOSPTL,"General Expenditure, by Function: - Hospitals"
INDTAX,Total Revenue - General Revenue - Total Taxes - Individual Income Taxes
INSBEN,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments
INSEXP,Insurance Trust Expenditure
INSREV,Total Revenue - Insurance Trust Revenue
INTEXP,Total Expenditure - Intergovernmental Expenditure
INTFED,Total Revenue - General Revenue - Intergovernmental Revenue - From Federal
INTGEN,"General Expenditure, by Function: - Interest on General Debt"
INTLOC,Total Revenue - General Revenue - Intergovernmental Revenue - From Local
INTREV,Total Revenue - General Revenue - Intergovernmental Revenue
INTRST,Total Expenditure - Direct Expenditure - Interest on Debt
LICTAX,Total Revenue - General Revenue - Total Taxes - License Taxes
LIQEXP,Liquor Stores Expenditure
LIQREV,Total Revenue - Liquor Stores Revenue
MSCREV,Total Revenue - General Revenue - Miscellaneous General Revenue
NATRES,"General Expenditure, by Function: - Natural Resources"
OTHINS,Total Revenue - Insurance Trust Revenue - Other Insurance Trust Systems
OTHTAX,Total Revenue - General Revenue - Total Taxes - All Other Taxes
OTHUNA,"General Expenditure, by Function: - Other and Unallocable"
PARKRC,"General Expenditure, by Function: - Parks and Recreation"
PENSON,Total Revenue - Insurance Trust Revenue - State-Administered Pension Systems
POLICE,"General Expenditure, by Function: - Police Protection"
PUBWEL,"General Expenditure, by Function: - Public Welfare"
SALARY,Total Expenditure - Exhibit: Salaries and Wages
SSALES,Total Revenue - General Revenue - Total Taxes - Selective Sales and Gross Receipts Taxes
SUBSID,Total Expenditure - Direct Expenditure - Assistance and Subsidies
TAXREV,Total Revenue - General Revenue - Total Taxes
TOTEXP,Total Expenditure
TOTREV,Total Revenue
UNEMPL,Total Revenue - Insurance Trust Revenue - Unemployment Compensation Systems
UTLEXP,Utility Expenditure
UTLREV,Total Revenue - Utility Revenue
WRKCMP,Total Revenue - Insurance Trust Revenue - Workers' Compensation Systems
