msn_code,source_code,sector_code,type_code,units,msn_desc,source_desc,sector_desc
ABICB,AB,IC,B,billion btu,aviation gasoline blending components consumed by the industrial sector,aviation gasoline blending components,industrial sector
ABICP,AB,IC,P,thousand barrels,aviation gasoline blending components consumed by the industrial sector,aviation gasoline blending components,industrial sector
ARICB,AR,IC,B,billion btu,asphalt and road oil consumed by the industrial sector,asphalt and road oil,industrial sector
ARICD,AR,IC,D,us dollars (USD) per million btu,asphalt and road oil price in the industrial sector,asphalt and road oil,industrial sector
ARICP,AR,IC,P,thousand barrels,asphalt and road oil consumed by the industrial sector,asphalt and road oil,industrial sector
ARICV,AR,IC,V,millions of us dollars (USD),asphalt and road oil expenditures in the industrial sector,asphalt and road oil,industrial sector
ARTCB,AR,TC,B,billion btu,asphalt and road oil total consumption,asphalt and road oil,total consumption
ARTCD,AR,TC,D,us dollars (USD) per million btu,"asphalt and road oil average price, all sectors",asphalt and road oil,total consumption
ARTCP,AR,TC,P,thousand barrels,asphalt and road oil total consumption,asphalt and road oil,total consumption
ARTCV,AR,TC,V,millions of us dollars (USD),asphalt and road oil total expenditures,asphalt and road oil,total consumption
ARTXB,AR,TX,B,billion btu,asphalt and road oil total end-use consumption,asphalt and road oil,all end-use sectors
ARTXD,AR,TX,D,us dollars (USD) per million btu,"asphalt and road oil average price, all end-use sectors",asphalt and road oil,all end-use sectors
ARTXP,AR,TX,P,thousand barrels,asphalt and road oil total end-use consumption,asphalt and road oil,all end-use sectors
ARTXV,AR,TX,V,millions of us dollars (USD),asphalt and road oil total end-use expenditures,asphalt and road oil,all end-use sectors
AVACB,AV,AC,B,billion btu,aviation gasoline consumed by the transportation sector,aviation gasoline,transportation sector
AVACD,AV,AC,D,us dollars (USD) per million btu,aviation gasoline price in the transportation sector,aviation gasoline,transportation sector
AVACP,AV,AC,P,thousand barrels,aviation gasoline consumed by the transportation sector,aviation gasoline,transportation sector
AVACV,AV,AC,V,millions of us dollars (USD),aviation gasoline expenditures in the transportation sector,aviation gasoline,transportation sector
AVTCB,AV,TC,B,billion btu,aviation gasoline total consumption,aviation gasoline,total consumption
AVTCD,AV,TC,D,us dollars (USD) per million btu,"aviation gasoline average price, all sectors",aviation gasoline,total consumption
AVTCP,AV,TC,P,thousand barrels,aviation gasoline total consumption,aviation gasoline,total consumption
AVTCV,AV,TC,V,millions of us dollars (USD),aviation gasoline total expenditures,aviation gasoline,total consumption
AVTXB,AV,TX,B,billion btu,aviation gasoline total end-use consumption,aviation gasoline,all end-use sectors
AVTXD,AV,TX,D,us dollars (USD) per million btu,"aviation gasoline average price, all end-use sectors",aviation gasoline,all end-use sectors
AVTXP,AV,TX,P,thousand barrels,aviation gasoline total end-use consumption,aviation gasoline,all end-use sectors
AVTXV,AV,TX,V,millions of us dollars (USD),aviation gasoline total end-use expenditures,aviation gasoline,all end-use sectors
BMTCB,BM,TC,B,billion btu,biomass total consumption,biomass,total consumption
BQICB,BQ,IC,B,billion btu,normal butane consumed by the industrial sector,normal butane,industrial sector
BQICP,BQ,IC,P,thousand barrels,normal butane consumed by the industrial sector,normal butane,industrial sector
BQTCB,BQ,TC,B,billion btu,normal butane total consumption,normal butane,total consumption
BQTCP,BQ,TC,P,thousand barrels,normal butane total consumption,normal butane,total consumption
BYICB,BY,IC,B,billion btu,butylene from refineries consumed by the industrial sector,butylene from refineries,industrial sector
BYICP,BY,IC,P,thousand barrels,butylene from refineries consumed by the industrial sector,butylene from refineries,industrial sector
BYTCB,BY,TC,B,billion btu,butylene from refineries total consumption,butylene from refineries,total consumption
BYTCP,BY,TC,P,thousand barrels,butylene from refineries total consumption,butylene from refineries,total consumption
CCEXB,CC,EX,B,billion btu,coal coke exported from the united states,coal coke,exported from the united states
CCEXD,CC,EX,D,us dollars (USD) per million btu,"coal coke exports average price, united states",coal coke,exported from the united states
CCEXP,CC,EX,P,thousand short tons,coal coke exported from the united states,coal coke,exported from the united states
CCEXV,CC,EX,V,millions of us dollars (USD),"coal coke exports expenditures, united states",coal coke,exported from the united states
CCIMB,CC,IM,B,billion btu,coal coke imported into the united states,coal coke,imported into the united states
CCIMD,CC,IM,D,us dollars (USD) per million btu,"coal coke imports average price, united states",coal coke,imported into the united states
CCIMP,CC,IM,P,thousand short tons,coal coke imported into the united states,coal coke,imported into the united states
CCIMV,CC,IM,V,millions of us dollars (USD),"coal coke imports expenditures, united states",coal coke,imported into the united states
CCNIB,CC,NI,B,billion btu,coal coke net imports into the united states,coal coke,net imports expenditures
CCNIP,CC,NI,P,thousand short tons,coal coke net imports into the united states,coal coke,net imports expenditures
CCNIV,CC,NI,V,millions of us dollars (USD),"coal coke net imports expenditures, united states",coal coke,net imports expenditures
CLACB,CL,AC,B,billion btu,coal consumed by the transportation sector,coal,transportation sector
CLACD,CL,AC,D,us dollars (USD) per million btu,coal price in the transportation sector,coal,transportation sector
CLACK,CL,AC,K,million btu per short ton,factor for converting coal consumed by the transportation sector from physical units to btu,coal,transportation sector
CLACP,CL,AC,P,thousand short tons,coal consumed by the transportation sector,coal,transportation sector
CLACV,CL,AC,V,millions of us dollars (USD),coal expenditures in the transportation sector,coal,transportation sector
CLCCB,CL,CC,B,billion btu,coal consumed by the commercial sector,coal,commercial sector
CLCCD,CL,CC,D,us dollars (USD) per million btu,coal price in the commercial sector,coal,commercial sector
CLCCP,CL,CC,P,thousand short tons,coal consumed by the commercial sector,coal,commercial sector
CLCCV,CL,CC,V,millions of us dollars (USD),coal expenditures in the commercial sector,coal,commercial sector
CLEIB,CL,EI,B,billion btu,coal consumed by the electric power sector,coal,electric power sector
