naics_code,naics_desc,naics_level
11,"Agriculture, forestry, fishing and hunting",sector
111,Crop production,subsector
1111,Oilseed and grain farming,industry_group
11111,Soybean farming,naics_industry
111110,Soybean farming,national_industry
11112,Oilseed (except soybean) farming,naics_industry
111120,Oilseed (except soybean) farming,national_industry
11113,Dry pea and bean farming,naics_industry
111130,Dry pea and bean farming,national_industry
11114,Wheat farming,naics_industry
111140,Wheat farming,national_industry
11115,Corn farming,naics_industry
111150,Corn farming,national_industry
11116,Rice farming,naics_industry
111160,Rice farming,national_industry
11119,Other grain farming,naics_industry
111191,Oilseed and grain combination farming,national_industry
111199,All other grain farming,national_industry
1112,Vegetable and melon farming,industry_group
11121,Vegetable and melon farming,naics_industry
111211,Potato farming,national_industry
111219,Other vegetable (except potato) and melon farming,national_industry
1113,Fruit and tree nut farming,industry_group
11131,Orange groves,naics_industry
111310,Orange groves,national_industry
11132,Citrus (except orange) groves,naics_industry
111320,Citrus (except orange) groves,national_industry
11133,Noncitrus fruit and tree nut farming,naics_industry
111331,Apple orchards,national_industry
111332,Grape vineyards,national_industry
111333,Strawberry farming,national_industry
111334,Berry (except strawberry) farming,national_industry
111335,Tree nut farming,national_industry
111336,Fruit and tree nut combination farming,national_industry
111339,Other noncitrus fruit farming,national_industry
1114,"Greenhouse, nursery, and floriculture production",industry_group
11141,Food crops grown under cover,naics_industry
111411,Mushroom production,national_industry
111419,Other food crops grown under cover,national_industry
11142,Nursery and floriculture production,naics_industry
111421,Nursery and tree production,national_industry
111422,Floriculture production,national_industry
1119,Other crop farming,industry_group
11191,Tobacco farming,naics_industry
111910,Tobacco farming,national_industry
11192,Cotton farming,naics_industry
111920,Cotton farming,national_industry
11193,Sugarcane farming,naics_industry
111930,Sugarcane farming,national_industry
11194,Hay farming,naics_industry
111940,Hay farming,national_industry
11199,All other crop farming,naics_industry
111991,Sugar beet farming,national_industry
111992,Peanut farming,national_industry
111998,All other miscellaneous crop farming,national_industry
112,Animal production and aquaculture,subsector
1121,Cattle ranching and farming,industry_group
11211,"Beef cattle ranching and farming, including feedlots",naics_industry
112111,Beef cattle ranching and farming,national_industry
112112,Cattle feedlots,national_industry
11212,Dairy cattle and milk production,naics_industry
112120,Dairy cattle and milk production,national_industry
11213,Dual-purpose cattle ranching and farming,naics_industry
112130,Dual-purpose cattle ranching and farming,national_industry
1122,Hog and pig farming,industry_group
11221,Hog and pig farming,naics_industry
112210,Hog and pig farming,national_industry
1123,Poultry and egg production,industry_group
11231,Chicken egg production,naics_industry
112310,Chicken egg production,national_industry
11232,Broilers and other meat type chicken production,naics_industry
112320,Broilers and other meat type chicken production,national_industry
11233,Turkey production,naics_industry
112330,Turkey production,national_industry
11234,Poultry hatcheries,naics_industry
112340,Poultry hatcheries,national_industry
11239,Other poultry production,naics_industry
112390,Other poultry production,national_industry
1124,Sheep and goat farming,industry_group
11241,Sheep farming,naics_industry
112410,Sheep farming,national_industry
11242,Goat farming,naics_industry
112420,Goat farming,national_industry
1125,Aquaculture,industry_group
11251,Aquaculture,naics_industry
112511,Finfish farming and fish hatcheries,national_industry
112512,Shellfish farming,national_industry
112519,Other aquaculture,national_industry
1129,Other animal production,industry_group
11291,Apiculture,naics_industry
112910,Apiculture,national_industry
11292,Horses and other equine production,naics_industry
112920,Horses and other equine production,national_industry
11293,Fur-bearing animal and rabbit production,naics_industry
112930,Fur-bearing animal and rabbit production,national_industry
11299,All other animal production,naics_industry
112990,All other animal production,national_industry
113,Forestry and logging,subsector
1131,Timber tract operations,industry_group
11311,Timber tract operations,naics_industry
113110,Timber tract operations,national_industry
1132,Forest nurseries and gathering of forest products,industry_group
11321,Forest nurseries and gathering of forest products,naics_industry
113210,Forest nurseries and gathering of forest products,national_industry
1133,Logging,industry_group
11331,Logging,naics_industry
113310,Logging,national_industry
114,"Fishing, hunting and trapping",subsector
1141,Fishing,industry_group
11411,Fishing,naics_industry
114111,Finfish fishing,national_industry
114112,Shellfish fishing,national_industry
114119,Other marine fishing,national_industry
1142,Hunting and trapping,industry_group
11421,Hunting and trapping,naics_industry
114210,Hunting and trapping,national_industry
115,Support activities for agriculture and forestry,subsector
1151,Support activities for crop production,industry_group
11511,Support activities for crop production,naics_industry
115111,Cotton ginning,national_industry
115112,"Soil preparation, planting, and cultivating",national_industry
115113,"Crop harvesting, primarily by machine",national_industry
115114,Postharvest crop activities (except cotton ginning),national_industry
115115,Farm labor contractors and crew leaders,national_industry
115116,Farm management services,national_industry
1152,Support activities for animal production,industry_group
11521,Support activities for animal production,naics_industry
115210,Support activities for animal production,national_industry
1153,Support activities for forestry,industry_group
11531,Support activities for forestry,naics_industry
115310,Support activities for forestry,national_industry
21,"Mining, quarrying, and oil and gas extraction",sector
211,Oil and gas extraction,subsector
2111,Oil and gas extraction,industry_group
21112,Crude petroleum extraction,naics_industry
211120,Crude petroleum extraction,national_industry
21113,Natural gas extraction,naics_industry
211130,Natural gas extraction,national_industry
212,Mining (except oil and gas),subsector
2121,Coal mining,industry_group
21211,Coal mining,naics_industry
212111,Bituminous coal and lignite surface mining,national_industry
212112,Bituminous coal underground mining,national_industry
212113,Anthracite mining,national_industry
2122,Metal ore mining,industry_group
21221,Iron ore mining,naics_industry
212210,Iron ore mining,national_industry
21222,Gold ore and silver ore mining,naics_industry
212221,Gold ore mining,national_industry
212222,Silver ore mining,national_industry
21223,"Copper, nickel, lead, and zinc mining",naics_industry
212230,"Copper, nickel, lead, and zinc mining",national_industry
21229,Other metal ore mining,naics_industry
212291,Uranium-radium-vanadium ore mining,national_industry
212299,All other metal ore mining,national_industry
2123,Nonmetallic mineral mining and quarrying,industry_group
21231,Stone mining and quarrying,naics_industry
212311,Dimension stone mining and quarrying,national_industry
212312,Crushed and broken limestone mining and quarrying,national_industry
212313,Crushed and broken granite mining and quarrying,national_industry
212319,Other crushed and broken stone mining and quarrying,national_industry
21232,"Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying",naics_industry
212321,Construction sand and gravel mining,national_industry
212322,Industrial sand mining,national_industry
212324,Kaolin and ball clay mining,national_industry
212325,Clay and ceramic and refractory minerals mining,national_industry
21239,Other nonmetallic mineral mining and quarrying,naics_industry
212391,"Potash, soda, and borate mineral mining",national_industry
212392,Phosphate rock mining,national_industry
212393,Other chemical and fertilizer mineral mining,national_industry
212399,All other nonmetallic mineral mining,national_industry
213,Support activities for mining,subsector
2131,Support activities for mining,industry_group
21311,Support activities for mining,naics_industry
213111,Drilling oil and gas wells,national_industry
213112,Support activities for oil and gas operations,national_industry
213113,Support activities for coal mining,national_industry
213114,Support activities for metal mining,national_industry
213115,Support activities for nonmetallic minerals (except fuels) mining,national_industry
22,Utilities,sector
221,Utilities,subsector
2211,"Electric power generation, transmission and distribution",industry_group
22111,Electric power generation,naics_industry
221111,Hydroelectric power generation,national_industry
221112,Fossil fuel electric power generation,national_industry
221113,Nuclear electric power generation,national_industry
221114,Solar electric power generation,national_industry
221115,Wind electric power generation,national_industry
221116,Geothermal electric power generation,national_industry
221117,Biomass electric power generation,national_industry
221118,Other electric power generation,national_industry
22112,"Electric power transmission, control, and distribution",naics_industry
221121,Electric bulk power transmission and control,national_industry
221122,Electric power distribution,national_industry
2212,Natural gas distribution,industry_group
22121,Natural gas distribution,naics_industry
221210,Natural gas distribution,national_industry
2213,"Water, sewage and other systems",industry_group
22131,Water supply and irrigation systems,naics_industry
221310,Water supply and irrigation systems,national_industry
22132,Sewage treatment facilities,naics_industry
221320,Sewage treatment facilities,national_industry
22133,Steam and air-conditioning supply,naics_industry
221330,Steam and air-conditioning supply,national_industry
23,Construction,sector
236,Construction of buildings,subsector
2361,Residential building construction,industry_group
23611,Residential building construction,naics_industry
236115,New single-family housing construction (except for-sale builders),national_industry
236116,New multifamily housing construction (except for-sale builders),national_industry
