sector_code,subsector_code,industry_group_code,naics_industry_code,national_industry_code,sector_desc,subsector_desc,industry_group_desc,naics_industry_desc,national_industry_desc
11,111,1111,11111,111110,"Agriculture, forestry, fishing and hunting",Crop production,Oilseed and grain farming,Soybean farming,Soybean farming
11,111,1111,11112,111120,"Agriculture, forestry, fishing and hunting",Crop production,Oilseed and grain farming,Oilseed (except soybean) farming,Oilseed (except soybean) farming
11,111,1111,11113,111130,"Agriculture, forestry, fishing and hunting",Crop production,Oilseed and grain farming,Dry pea and bean farming,Dry pea and bean farming
11,111,1111,11114,111140,"Agriculture, forestry, fishing and hunting",Crop production,Oilseed and grain farming,Wheat farming,Wheat farming
11,111,1111,11115,111150,"Agriculture, forestry, fishing and hunting",Crop production,Oilseed and grain farming,Corn farming,Corn farming
11,111,1111,11116,111160,"Agriculture, forestry, fishing and hunting",Crop production,Oilseed and grain farming,Rice farming,Rice farming
11,111,1111,11119,111191,"Agriculture, forestry, fishing and hunting",Crop production,Oilseed and grain farming,Other grain farming,Oilseed and grain combination farming
11,111,1111,11119,111199,"Agriculture, forestry, fishing and hunting",Crop production,Oilseed and grain farming,Other grain farming,All other grain farming
11,111,1112,11121,111211,"Agriculture, forestry, fishing and hunting",Crop production,Vegetable and melon farming,Vegetable and melon farming,Potato farming
11,111,1112,11121,111219,"Agriculture, forestry, fishing and hunting",Crop production,Vegetable and melon farming,Vegetable and melon farming,Other vegetable (except potato) and melon farming
11,111,1113,11131,111310,"Agriculture, forestry, fishing and hunting",Crop production,Fruit and tree nut farming,Orange groves,Orange groves
11,111,1113,11132,111320,"Agriculture, forestry, fishing and hunting",Crop production,Fruit and tree nut farming,Citrus (except orange) groves,Citrus (except orange) groves
11,111,1113,11133,111331,"Agriculture, forestry, fishing and hunting",Crop production,Fruit and tree nut farming,Noncitrus fruit and tree nut farming,Apple orchards
11,111,1113,11133,111332,"Agriculture, forestry, fishing and hunting",Crop production,Fruit and tree nut farming,Noncitrus fruit and tree nut farming,Grape vineyards
11,111,1113,11133,111333,"Agriculture, forestry, fishing and hunting",Crop production,Fruit and tree nut farming,Noncitrus fruit and tree nut farming,Strawberry farming
11,111,1113,11133,111334,"Agriculture, forestry, fishing and hunting",Crop production,Fruit and tree nut farming,Noncitrus fruit and tree nut farming,Berry (except strawberry) farming
