summary_code,detail_code,detail_desc,bea_code
adm,bsp_adm,Business support services,561400
adm,dwe_adm,Services to buildings and dwellings,561700
adm,emp_adm,Employment services,561300
adm,fac_adm,Facilities support services,561200
adm,inv_adm,Investigation and security services,561600
adm,off_adm,Office administrative services,561100
adm,oss_adm,Other support services,561900
adm,trv_adm,Travel arrangement and reservation services,561500
agr,bef_agr,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",1121A0
agr,dry_agr,Dairy cattle and milk production,112120
agr,egg_agr,Poultry and egg production,112300
agr,flo_agr,"Greenhouse, nursery, and floriculture production",111400
agr,grn_agr,Grain farming,1111B0
agr,nut_agr,Fruit and tree nut farming,111300
agr,oil_agr,Oilseed farming,1111A0
agr,ota_agr,"Animal production, except cattle and poultry and eggs",112A00
agr,oth_agr,Other crop farming,111900
agr,veg_agr,Vegetable and melon farming,111200
air,air_air,Air transportation,481000
alt,app_alt,Apparel manufacturing,315000
alt,lea_alt,Leather and allied product manufacturing,316000
amb,dnt_amb,Offices of dentists,621200
amb,hom_amb,Home health care services,621600
amb,lab_amb,Medical and diagnostic laboratories,621500
amb,oas_amb,Other ambulatory health care services,621900
amb,ohp_amb,Offices of other health practitioners,621300
amb,out_amb,Outpatient care centers,621400
amb,phy_amb,Offices of physicians,621100
amd,amd_amd,Accommodation,721000
art,agt_art,Promoters of performing arts and sports and agents for public figures,711A00
art,ind_art,"Independent artists, writers, and performers",711500
art,mus_art,"Museums, historical sites, zoos, and parks",712000
art,pfm_art,Performing arts companies,711100
art,spr_art,Spectator sports,711200
bnk,cre_bnk,Nondepository credit intermediation and related activities,522A00
bnk,mon_bnk,Monetary authorities and depository credit intermediation,52A000
brd,cbl_brd,Cable and other subscription programming,515200
brd,rad_brd,Radio and television broadcasting,515100
brd,sat_brd,"Satellite, telecommunications resellers, and all other telecommunications",517A00
brd,wls_brd,Wireless telecommunications carriers (except satellite),517210
brd,wtl_brd,Wired telecommunications carriers,517110
cep,aec_cep,Automatic environmental control manufacturing,334512
cep,ali_cep,Analytical laboratory instrument manufacturing,334516
cep,aud_cep,Audio and video equipment manufacturing,334300
cep,brd_cep,Broadcast and wireless communications equipment,334220
cep,csd_cep,Computer storage device manufacturing,334112
cep,ctm_cep,Computer terminals and other computer peripheral equipment manufacturing,334118
cep,ecm_cep,Electronic computer manufacturing,334111
cep,eea_cep,Electromedical and electrotherapeutic apparatus manufacturing,334510
cep,els_cep,Electricity and signal testing instruments manufacturing,334515
cep,ipv_cep,Industrial process variable instruments manufacturing,334513
cep,irr_cep,Irradiation apparatus manufacturing,334517
cep,mmo_cep,Manufacturing and reproducing magnetic and optical media,334610
cep,oce_cep,Other communications equipment manufacturing,334290
cep,oec_cep,Other electronic component manufacturing,33441A
cep,prc_cep,Printed circuit assembly (electronic assembly) manufacturing,334418
cep,sdn_cep,"Search, detection, and navigation instruments manufacturing",334511
cep,sem_cep,Semiconductor and related device manufacturing,334413
cep,tel_cep,Telephone apparatus manufacturing,334210
cep,tfl_cep,Totalizing fluid meter and counting device manufacturing,334514
cep,wcm_cep,"Watch, clock, and other measuring and controlling device manufacturing",33451A
che,adh_che,Adhesive manufacturing,325520
che,bio_che,Biological product (except diagnostic) manufacturing,325414
che,fmf_che,Fertilizer manufacturing,325310
che,igm_che,Industrial gas manufacturing,325120
che,inv_che,In-vitro diagnostic substance manufacturing,325413
che,mbm_che,Medicinal and botanical manufacturing,325411
che,obi_che,Other basic inorganic chemical manufacturing,325180
che,obo_che,Other basic organic chemical manufacturing,325190
che,och_che,All other chemical product and preparation manufacturing,3259A0
che,pag_che,Pesticide and other agricultural chemical manufacturing,325320
che,phm_che,Pharmaceutical preparation manufacturing,325412
che,pmr_che,Plastics material and resin manufacturing,325211
che,pnt_che,Paint and coating manufacturing,325510
che,pri_che,Printing ink manufacturing,325910
che,ptr_che,Petrochemical manufacturing,325110
che,sdp_che,Synthetic dye and pigment manufacturing,325130
che,sop_che,Soap and cleaning compound manufacturing,325610
che,srf_che,Synthetic rubber and artificial and synthetic fibers and filaments manufacturing,3252A0
che,toi_che,Toilet preparation manufacturing,325620
com,cus_com,Custom computer programming services,541511
com,ocs_com,"Other computer related services, including facilities management",54151A
com,sys_com,Computer systems design services,541512
con,edu_con,Educational and vocational structures,233262
con,hcs_con,Health care structures,233210
con,mfs_con,Manufacturing structures,233230
con,mrs_con,Multifamily residential structures,233412
con,nmr_con,Nonresidential maintenance and repair,230301
con,off_con,Office and commercial structures,2332A0
con,ons_con,Other nonresidential structures,2332D0
con,ors_con,Other residential structures,2334A0
con,pwr_con,Power and communication structures,233240
con,rmr_con,Residential maintenance and repair,230302
con,srs_con,Single-family residential structures,233411
con,trn_con,Transportation structures and highways and streets,2332C0
dat,dpr_dat,"Data processing, hosting, and related services",518200
dat,int_dat,Internet publishing and broadcasting and Web search portals,519130
dat,new_dat,"News syndicates, libraries, archives and all other information services",5191A0
edu,oes_edu,Other educational services,611B00
edu,sec_edu,Elementary and secondary schools,611100
edu,uni_edu,"Junior colleges, colleges, universities, and professional schools",611A00
eec,cbn_eec,Carbon and graphite product manufacturing,335991
eec,cme_eec,Communication and energy wire and cable manufacturing,335920
eec,elb_eec,Electric lamp bulb and part manufacturing,335110
eec,hca_eec,Household cooking appliance manufacturing,335221
eec,hle_eec,Household laundry equipment manufacturing,335224
eec,hrf_eec,Household refrigerator and home freezer manufacturing,335222
eec,ltf_eec,Lighting fixture manufacturing,335120
eec,mtg_eec,Motor and generator manufacturing,335312
eec,oee_eec,All other miscellaneous electrical equipment and component manufacturing,335999
eec,omh_eec,Other major household appliance manufacturing,335228
eec,pbt_eec,Primary battery manufacturing,335912
eec,pwr_eec,"Power, distribution, and specialty transformer manufacturing",335311
eec,ric_eec,Relay and industrial control manufacturing,335314
eec,sbt_eec,Storage battery manufacturing,335911
eec,sea_eec,Small electrical appliance manufacturing,335210
eec,swt_eec,Switchgear and switchboard apparatus manufacturing,335313
eec,wdv_eec,Wiring device manufacturing,335930
fbp,asp_fbp,"Animal (except poultry) slaughtering, rendering, and processing",31161A
fbp,ber_fbp,Breweries,312120
fbp,brd_fbp,Bread and bakery product manufacturing,311810
fbp,brk_fbp,Breakfast cereal manufacturing,311230
fbp,can_fbp,"Fruit and vegetable canning, pickling, and drying",311420
fbp,chk_fbp,Poultry processing,311615
fbp,chs_fbp,Cheese manufacturing,311513
