aggr_code,disagg_code,aggr_desc,disagg_desc
befa,bef_agr,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming (1121A0)","Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming"
con,con,Construction,Construction
drya,dry_agr,Dairy cattle and milk production (112120),Dairy cattle and milk production
egga,egg_agr,Poultry and egg production (112300),Poultry and egg production
fdp,fbp,Food processing,Food and beverage and tobacco products
floa,flo_agr,"Greenhouse, nursery, and floriculture production (111400)","Greenhouse, nursery, and floriculture production"
grna,grn_agr,Grain farming (1111B0),Grain farming
mnf,alt,Manufacturing sectors,Apparel and leather and allied products
mnf,cep,Manufacturing sectors,Computer and electronic products
mnf,che,Manufacturing sectors,Chemical products
mnf,eec,Manufacturing sectors,"Electrical equipment, appliances, and components"
mnf,fmt,Manufacturing sectors,Fabricated metal products
mnf,fof,Manufacturing sectors,"Forestry, fishing, and related activities"
mnf,fpd,Manufacturing sectors,Furniture and related products
mnf,mch,Manufacturing sectors,Machinery
mnf,min,Manufacturing sectors,Mining
mnf,mmf,Manufacturing sectors,Miscellaneous manufacturing
mnf,mot,Manufacturing sectors,"Motor vehicles, bodies and trailers, and parts manufacturing"
mnf,nmp,Manufacturing sectors,Nonmetallic mineral products
mnf,oil,Manufacturing sectors,Oil and natural gas extraction
mnf,ote,Manufacturing sectors,Other transportation equipment
mnf,pet,Manufacturing sectors,Other petroleum based manufacturing
mnf,pla,Manufacturing sectors,Plastics and rubber products
mnf,pmt,Manufacturing sectors,Primary metals
mnf,ppd,Manufacturing sectors,Paper products
mnf,pri,Manufacturing sectors,Printing and related support activities
mnf,smn,Manufacturing sectors,Support activities for mining
mnf,tex,Manufacturing sectors,Textile mills and textile product mills
mnf,wpd,Manufacturing sectors,Wood products
nuta,nut_agr,Fruit and tree nut farming (111300),Fruit and tree nut farming
oila,oil_agr,Oilseed farming (1111A0),Oilseed farming
otaa,ota_agr,"Animal production, except cattle and poultry and eggs (112A00)","Animal production, except cattle and poultry and eggs"
otha,oth_agr,Other crop farming (111900),Other crop farming
roe,fbt,Rest of the economy,Food and beverage stores
roe,fdd,Rest of the economy,Federal general government
roe,fen,Rest of the economy,Federal government enterprises
roe,fnd,Rest of the economy,Federal general government
roe,gmt,Rest of the economy,General merchandise stores
roe,mvt,Rest of the economy,Motor vehicle and parts dealers
roe,oth,Rest of the economy,Noncomparable imports and rest-of-the-world adjustment
roe,ott,Rest of the economy,Other retail
roe,sle,Rest of the economy,State and local government enterprises
roe,slg,Rest of the economy,State and local general government
roe,use,Rest of the economy,"Scrap, used and secondhand goods"
roe,wht,Rest of the economy,Wholesale trade
srv,adm,Services,Administrative and support services
srv,amb,Services,Ambulatory health care services
srv,amd,Services,Accommodation
srv,art,Services,"Performing arts, spectator sports, museums, and related activit"
srv,bnk,Services,"Federal Reserve banks, credit intermediation, and related activ"
srv,brd,Services,Broadcasting and telecommunications
srv,com,Services,Computer systems design and related services
srv,dat,Services,"Data processing, internet publishing, and other information"
srv,edu,Services,Educational services
srv,fin,Services,"Funds, trusts, and other financial vehicles"
srv,hos,Services,Hospitals
srv,hou,Services,Housing
srv,ins,Services,Insurance carriers and related activities
srv,leg,Services,Legal services
srv,man,Services,Management of companies and enterprises
srv,mov,Services,Motion picture and sound recording industries
srv,nrs,Services,Nursing and residential care facilities
srv,ore,Services,Other real estate
srv,osv,Services,"Other services, except government"
srv,pub,Services,"Publishing industries, except internet"
srv,rec,Services,"Amusements, gambling, and recreation industries"
srv,res,Services,Food services and drinking places
srv,rnt,Services,Rental and leasing services and lessors of intangible assets
srv,sec,Services,"Securities, commodity contracts, and investments"
srv,soc,Services,Social assistance
srv,tsv,Services,"Miscellaneous professional, scientific, and technical services"
srv,uti,Services,Other utilities
srv,wrh,Services,Warehousing and storage
srv,wst,Services,Waste management and remediation services
trn,air,Transportation,Air transportation
trn,grd,Transportation,Transit and ground passenger transportation
trn,otr,Transportation,Other transportation and support activities
trn,pip,Transportation,Pipeline transportation
trn,trk,Transportation,Truck transportation
trn,trn,Transportation,Rail transportation
trn,wtt,Transportation,Water transportation
vega,veg_agr,Vegetable and melon farming (111200),Vegetable and melon farming
