fd,desc
changinv,Change in private inventories
def_equipment,Federal national defense: Gross investment in equipment
def_intelprop,Federal national defense: Gross investment in intellectual property products
def_structures,Federal national defense: Gross investment in structures
defense,National defense: Consumption expenditures
equipment,Nonresidential private fixed investment in equipment
fed_equipment,Federal nondefense: Gross investment in equipment
fed_intelprop,Federal nondefense: Gross investment in intellectual property products
fed_structures,Federal nondefense: Gross investment in structures
intelprop,Nonresidential private fixed investment in intellectual property products
nondefense,Nondefense: Consumption expenditures
pce,Personal consumption expenditures
residential,Residential private fixed investment
state_consume,State and local government consumption expenditures
state_equipment,State and local: Gross investment in equipment
state_intelprop,State and local: Gross investment in intellectual property products
state_invest,State and local: Gross investment in structures
structures,Nonresidential private fixed investment in structures
