s,desc
abr_nmp,Abrasive product manufacturing
acc_tsv,"Accounting, tax preparation, bookkeeping, and payroll services"
acn_mch,"Air conditioning, refrigeration, and warm air heating equipment manufacturing"
adh_che,Adhesive manufacturing
adv_tsv,"Advertising, public relations, and related services"
aec_cep,Automatic environmental control manufacturing
aen_ote,Aircraft engine and engine parts manufacturing
agc_mch,Air and gas compressor manufacturing
agn_ins,"Insurance agencies, brokerages, and related activities"
agt_art,Promoters of performing arts and sports and agents for public figures
air_air,Air transportation
air_mch,Industrial and commercial fan and blower and air purification equipment manufacturing
air_ote,Aircraft manufacturing
ala_pmt,Alumina refining and primary aluminum production
ali_cep,Analytical laboratory instrument manufacturing
alu_pmt,Aluminum product manufacturing from purchased aluminum
amd_amd,Accommodation
amn_fmt,"Ammunition, arms, ordnance, and accessories manufacturing"
amu_rec,Amusement parks and arcades
app_alt,Apparel manufacturing
arc_tsv,"Architectural, engineering, and related services"
asp_fbp,"Animal (except poultry) slaughtering, rendering, and processing"
ath_mmf,Sporting and athletic goods manufacturing
atm_mot,Automobile manufacturing
atr_osv,Automotive repair and maintenance
aud_cep,Audio and video equipment manufacturing
aut_rnt,Automotive equipment rental and leasing
bbr_fmt,Ball and roller bearing manufacturing
bef_agr,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming"
ber_fbp,Breweries
bio_che,Biological product (except diagnostic) manufacturing
bok_pub,Book publishers
bot_ote,Boat building
bot_pla,Plastics bottle manufacturing
brd_cep,Broadcast and wireless communications equipment
brd_fbp,Bread and bakery product manufacturing
brk_fbp,Breakfast cereal manufacturing
brk_mot,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing"
bsp_adm,Business support services
bui_ott,Building material and garden equipment and supplies dealers
cab_fpd,Wood kitchen cabinet and countertop manufacturing
cam_mot,Travel trailer and camper manufacturing
can_fbp,"Fruit and vegetable canning, pickling, and drying"
car_ins,"Insurance carriers, except direct life"
cas_rec,Gambling industries (except casino hotels)
cbl_brd,Cable and other subscription programming
cbn_eec,Carbon and graphite product manufacturing
ceh_fmt,"Coating, engraving, heat treating and allied activities"
chk_fbp,Poultry processing
chs_fbp,Cheese manufacturing
cig_fbp,Tobacco product manufacturing
civ_osv,"Civic, social, professional, and similar organizations"
clo_ott,Clothing and clothing accessories stores
cly_nmp,Clay product and refractory manufacturing
cme_eec,Communication and energy wire and cable manufacturing
cmf_soc,"Community food, housing, and other relief services, including rehabilitation services"
cmg_rnt,General and consumer goods rental
cmt_nmp,Cement manufacturing
cnc_nmp,Ready-mix concrete manufacturing
cok_fbp,"Cookie, cracker, pasta, and tortilla manufacturing"
col_min,Coal mining
com_rnt,Commercial and industrial machinery and equipment rental and leasing
com_sec,Securities and commodity contracts intermediation and brokerage
con_mch,Construction machinery manufacturing
cop_pmt,"Copper rolling, drawing, extruding and alloying"
cpb_nmp,"Concrete pipe, brick, and block manufacturing"
cre_bnk,Nondepository credit intermediation and related activities
crn_fmt,"Metal crown, closure, and other metal stamping (except automotive)"
csd_cep,Computer storage device manufacturing
ctm_cep,Computer terminals and other computer peripheral equipment manufacturing
cus_com,Custom computer programming services
cut_fmt,Cutlery and handtool manufacturing
cut_mch,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing"
cut_nmp,Cut stone and stone product manufacturing
day_soc,Child day care services
des_tsv,Specialized design services
dir_ins,Direct life insurance carriers
dlb_mmf,Dental laboratories
dnt_amb,Offices of dentists
dnt_mmf,Dental equipment and supplies manufacturing
dog_fbp,Dog and cat food manufacturing
dpr_dat,"Data processing, hosting, and related services"
drl_smn,Drilling oil and gas wells
dru_wht,Drugs and druggists’ sundries
dry_agr,Dairy cattle and milk production
dry_fbp,"Dry, condensed, and evaporated dairy product manufacturing"
dry_osv,Dry-cleaning and laundry services
dut_wht,Customs duties
dwe_adm,Services to buildings and dwellings
ecm_cep,Electronic computer manufacturing
edu_con,Educational and vocational structures
edu_slg,State and local government educational services
eea_cep,Electromedical and electrotherapeutic apparatus manufacturing
eee_mot,Motor vehicle electrical and electronic equipment manufacturing
egg_agr,Poultry and egg production
elb_eec,Electric lamp bulb and part manufacturing
ele_fen,Federal electric utilities
ele_sle,State and local government electric utilities
ele_uti,"Electric power generation, transmission, and distribution"
ele_wht,Wholesale electronic markets and agents and brokers
els_cep,Electricity and signal testing instruments manufacturing
emp_adm,Employment services
ent_sle,Other state and local government enterprises
env_tsv,Environmental and other technical consulting services
eqr_osv,Electronic and precision equipment repair and maintenance
fab_fmt,Fabricated pipe and pipe fitting manufacturing
fac_adm,Facilities support services
fat_fbp,Fats and oils refining and blending
fbt_fbt,Food and beverage stores
fdd_fdd,Federal general government (defense)
fht_fof,"Fishing, hunting and trapping"
fin_fin,"Funds, trusts, and other financial vehicles"
fld_mch,Fluid power process machinery
flo_agr,"Greenhouse, nursery, and floriculture production"
flr_fbp,Flour milling and malt manufacturing
fmf_che,Fertilizer manufacturing
fmf_pmt,Ferrous metal foundries
fml_tex,Fabric mills
fnd_fnd,Federal general government (nondefense)
fom_pla,Polystyrene foam product manufacturing
frm_mch,Farm machinery and equipment manufacturing
fss_fmt,"All other forging, stamping, and sintering"
ful_res,Full-service restaurants
fun_osv,Death care services
fyt_tex,"Fiber, yarn, and thread mills"
fzn_fbp,Frozen food manufacturing
gas_mot,Motor vehicle gasoline engine and engine parts manufacturing
gas_ott,Gasoline stations
gas_uti,Natural gas distribution
gla_nmp,Glass and glass product manufacturing
gmt_gmt,General merchandise stores
grd_grd,Transit and ground passenger transportation
grn_agr,Grain farming
gro_wht,Grocery and related product wholesalers
grt_osv,"Grantmaking, giving, and social advocacy organizations"
hca_eec,Household cooking appliance manufacturing
hcs_con,Health care structures
hdw_fmt,Hardware manufacturing
hea_mch,Heating equipment (except warm air furnaces) manufacturing
hea_ott,Health and personal care stores
hea_slg,State and local government hospitals and health services
