s,desc
adm,Administrative and support services
agr,Farms
air,Air transportation
alt,Apparel and leather and allied products
amb,Ambulatory health care services
amd,Accommodation
art,"Performing arts, spectator sports, museums, and related activities"
bnk,"Federal Reserve banks, credit intermediation, and related activities"
brd,Broadcasting and telecommunications
cep,Computer and electronic products
che,Chemical products
com,Computer systems design and related services
con,Construction
dat,"Data processing, internet publishing, and other information services"
edu,Educational services
eec,"Electrical equipment, appliances, and components"
fbp,Food and beverage and tobacco products
fbt,Food and beverage stores
fdd,Federal general government (defense)
fen,Federal government enterprises
fin,"Funds, trusts, and other financial vehicles"
fmt,Fabricated metal products
fnd,Federal general government (nondefense)
fof,"Forestry, fishing, and related activities"
fpd,Furniture and related products
gmt,General merchandise stores
grd,Transit and ground passenger transportation
hos,Hospitals
hou,Housing
ins,Insurance carriers and related activities
leg,Legal services
man,Management of companies and enterprises
mch,Machinery
min,"Mining, except oil and gas"
mmf,Miscellaneous manufacturing
mot,"Motor vehicles, bodies and trailers, and parts"
mov,Motion picture and sound recording industries
mvt,Motor vehicle and parts dealers
nmp,Nonmetallic mineral products
nrs,Nursing and residential care facilities
oil,Oil and gas extraction
ore,Other real estate
osv,"Other services, except government"
ote,Other transportation equipment
oth,Noncomparable imports and rest-of-the-world adjustment
otr,Other transportation and support activities
ott,Other retail
pet,Petroleum and coal products
pip,Pipeline transportation
pla,Plastics and rubber products
pmt,Primary metals
ppd,Paper products
pri,Printing and related support activities
pub,"Publishing industries, except internet (includes software)"
rec,"Amusements, gambling, and recreation industries"
res,Food services and drinking places
rnt,Rental and leasing services and lessors of intangible assets
sec,"Securities, commodity contracts, and investments"
sle,State and local government enterprises
slg,State and local general government
smn,Support activities for mining
soc,Social assistance
tex,Textile mills and textile product mills
trk,Truck transportation
trn,Rail transportation
tsv,"Miscellaneous professional, scientific, and technical services"
use,"Scrap, used and secondhand goods"
uti,Utilities
wht,Wholesale trade
wpd,Wood products
wrh,Warehousing and storage
wst,Waste management and remediation services
wtt,Water transportation
